# Litcoiin Mining Performance — Sample Dataset
## Generated: 2026-08-12
## Description: Daily mining performance metrics for AI agent tasks on Base L2
## Full dataset available upon request

date,task_category,tasks_submitted,tasks_won,win_rate_pct,avg_reward_lit,total_earned_lit,model_used,provider,latency_ms
2026-08-06,ai_safety,12,8,66.7,58,464,Groq Llama 3.3 70B,Groq,340
2026-08-06,tcg_cards,15,7,46.7,45,315,OpenRouter Qwen3,OpenRouter,520
2026-08-06,smart_contracts,5,2,40.0,32,64,Cerebras Llama 3.1 8B,Cerebras,180
2026-08-06,data_labeling,10,6,60.0,12,72,Mistral Small,Mistral,410
2026-08-07,ai_safety,14,10,71.4,61,610,Groq Llama 3.3 70B,Groq,290
2026-08-07,tcg_cards,18,9,50.0,48,432,OpenRouter Qwen3,OpenRouter,480
2026-08-07,smart_contracts,6,3,50.0,35,105,Cerebras Llama 3.1 8B,Cerebras,200
2026-08-07,data_labeling,12,7,58.3,14,98,Mistral Small,Mistral,390
2026-08-08,ai_safety,11,7,63.6,57,399,Groq Llama 3.3 70B,Groq,310
2026-08-08,tcg_cards,16,8,50.0,46,368,OpenRouter Qwen3,OpenRouter,500
2026-08-08,smart_contracts,4,1,25.0,30,30,Cerebras Llama 3.1 8B,Cerebras,220
2026-08-08,data_labeling,9,5,55.6,13,65,Mistral Small,Mistral,400
2026-08-09,ai_safety,13,9,69.2,59,531,Groq Llama 3.3 70B,Groq,330
2026-08-09,tcg_cards,14,6,42.9,44,264,OpenRouter Qwen3,OpenRouter,510
2026-08-09,smart_contracts,7,4,57.1,38,152,Cerebras Llama 3.1 8B,Cerebras,190
2026-08-09,data_labeling,11,6,54.5,14,84,Mistral Small,Mistral,380
2026-08-10,ai_safety,15,11,73.3,62,682,Groq Llama 3.3 70B,Groq,280
2026-08-10,tcg_cards,17,8,47.1,47,376,OpenRouter Qwen3,OpenRouter,490
2026-08-10,smart_contracts,5,2,40.0,33,66,Cerebras Llama 3.1 8B,Cerebras,210
2026-08-10,data_labeling,10,6,60.0,15,90,Mistral Small,Mistral,420
